Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Fri Dec 13 08:30:22 2024
| Host         : bwrc-amd1 running 64-bit Ubuntu 20.04.6 LTS
| Command      : report_utilization -hierarchical -file /bwrcq/C/vikramj/dsp-chiplet-to/chipyard/fpga/generated-src/chipyard.fpga.nexysvideo.NexysVideoHarness.BringupNexysVideoConfig/obj/report/utilization.txt
| Design       : NexysVideoHarness
| Device       : xc7a200tsbg484-1
| Speed File   : -1
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+------------------------------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
|                                   Instance                                   |                             Module                             | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP Blocks |
+------------------------------------------------------------------------------+----------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------------+
| NexysVideoHarness                                                            |                                                          (top) |      11572 |       9199 |    2170 |  203 | 10564 |      0 |      0 |          0 |
|   (NexysVideoHarness)                                                        |                                                          (top) |         74 |         16 |      58 |    0 |    33 |      0 |      0 |          0 |
|   chiptop0                                                                   |                                                        ChipTop |       3064 |       2428 |     636 |    0 |  2021 |      0 |      0 |          0 |
|     (chiptop0)                                                               |                                                        ChipTop |          1 |          1 |       0 |    0 |     0 |      0 |      0 |          0 |
|     system                                                                   |                                                     DigitalTop |       3063 |       2427 |     636 |    0 |  2021 |      0 |      0 |          0 |
|       chipyard_prcictrl_domain                                               |                                              ClockSinkDomain_1 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|         resetSynchronizer                                                    |                                    ClockGroupResetSynchronizer |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|           nodeOut_member_allClocks_uncore_reset_catcher                      |                                       ResetCatchAndSync_d3_375 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|             io_sync_reset_chain                                              |                    AsyncResetSynchronizerShiftReg_w1_d3_i0_376 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|               output_chain                                                   |              AsyncResetSynchronizerPrimitiveShiftReg_d3_i0_377 |          2 |          2 |       0 |    0 |     3 |      0 |      0 |          0 |
|       coh_wrapper                                                            |                                        CoherenceManagerWrapper |        512 |        320 |     192 |    0 |   257 |      0 |      0 |          0 |
|         broadcast_1                                                          |                                                    TLBroadcast |        512 |        320 |     192 |    0 |   257 |      0 |      0 |          0 |
|           (broadcast_1)                                                      |                                                    TLBroadcast |         12 |         12 |       0 |    0 |    21 |      0 |      0 |          0 |
|           TLBroadcastTracker                                                 |                                             TLBroadcastTracker |        262 |        214 |      48 |    0 |    59 |      0 |      0 |          0 |
|             (TLBroadcastTracker)                                             |                                             TLBroadcastTracker |         17 |         17 |       0 |    0 |    52 |      0 |      0 |          0 |
|             o_data_q                                                         |                                                   Queue_60_373 |        245 |        197 |      48 |    0 |     7 |      0 |      0 |          0 |
|               (o_data_q)                                                     |                                                   Queue_60_373 |         89 |         89 |       0 |    0 |     7 |      0 |      0 |          0 |
