Y\X,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PRS CORNER,iodiff_40_n_q4,,iodiff_39_n_q4,,iodiff_37_n_q4,,iodiff_35_n_q4,,iodiff_33_n_q4,,iodiff_31_n_q4,,iodiff_29_n_q4,,iodiff_27_n_q4,,iodiff_25_n_q4,,iodiff_23_n_q4,,iodiff_21_n_q4,,iodiff_19_n_q4,,iodiff_19_n_q2,,iodiff_21_n_q2,,iodiff_23_n_q2,,iodiff_25_n_q2,,iodiff_27_n_q2,,iodiff_29_n_q2,,iodiff_31_n_q2,,iodiff_33_n_q2,,iodiff_35_n_q2,,iodiff_37_n_q2,,iodiff_39_n_q2,,iodiff_40_n_q2,PRS CORNER
,,,,,,,,BT0 DQ2 8 51,,BT0 DQ4 10 51,,dll_ibias_main 12 51,,BT1 DQ2 14 51,,BT1 DQ4 16 51,,RX_VREF 18 51,,CA DQ2 20 51,,CA DQ4 22 51,,VDD_PRE 24 51,,vss,,rxdata0_q2 28_51,,vss,,vss,,rxdata15_q2 34_51,,vss,,txdata12_q2 38_51,,txdata3_q2 40_51,,vss,,vss,,,,,
49,iodiff_41_n_q4,,vss,,iodiff_38_n_q4,,iodiff_36_n_q4,,iodiff_34_n_q4,,iodiff_32_n_q4,,iodiff_30_n_q4,,iodiff_28_n_q4,,iodiff_26_n_q4,,iodiff_24_n_q4,,iodiff_22_n_q4,,iodiff_20_n_q4,,,,iodiff_20_n_q2,,iodiff_22_n_q2,,iodiff_24_n_q2,,iodiff_26_n_q2,,iodiff_28_n_q2,,iodiff_30_n_q2,,iodiff_32_n_q2,,iodiff_34_n_q2,,iodiff_36_n_q2,,iodiff_38_n_q2,,vss,,iodiff_41_n_q2
,,,,,,,BT0 DQ0 7 50,,BT0 DQS_C 9 50,,BT0 DQ6 11 50,,BT1 DQ0 13 50,,BT1 DQS_C 15 50,,BT1 DQ6 17 50,,CA DQ0 19 50,,CA CKC 21 50,,VDD_PRE 23 50,,,,rxsbd_q2 27_50,,rxdata2_q2 29_50,,rxvld_q2 31_50,,rxdata14_q2 33_50,,vss,,txdata13_q2 37_50,,txtrk_q2 39_50,,txdata1_q2 41_50,,txsbc_q2 43_50,,,,,,
48,,iodiff_40_p_q4,,iodiff_39_p_q4,,iodiff_37_p_q4,,iodiff_35_p_q4,,iodiff_33_p_q4,,iodiff_31_p_q4,,iodiff_29_p_q4,,iodiff_27_p_q4,,iodiff_25_p_q4,,iodiff_23_p_q4,,iodiff_21_p_q4,,iodiff_19_p_q4,,iodiff_19_p_q2,,iodiff_21_p_q2,,iodiff_23_p_q2,,iodiff_25_p_q2,,iodiff_27_p_q2,,iodiff_29_p_q2,,iodiff_31_p_q2,,iodiff_33_p_q2,,iodiff_35_p_q2,,iodiff_37_p_q2,,iodiff_39_p_q2,,iodiff_40_p_q2,
,,,,,,,,BT0 DQ3 8 49,,BT0 DQ5 10 49,,dll_vinit 12 49,,BT1 DQ3 14 49,,BT1 DQ5 16 49,,BUF_BANK_IBIAS 18 49,,CA DQ3 20 49,,CA DQ5 22 49,,VDD_PRE 24 49,,vddh_q2,,vss,,rxdata3_q2 30_49,,rxdata12_q2 32_49,,vss,,txdata15_q2 36_49,,vss,,vss,,txdata0_q2 42_49,,vddh_q2,,,,,
47,iodiff_41_p_q4,,vss,,iodiff_38_p_q4,,iodiff_36_p_q4,,iodiff_34_p_q4,,iodiff_32_p_q4,,iodiff_30_p_q4,,iodiff_28_p_q4,,iodiff_26_p_q4,,iodiff_24_p_q4,,iodiff_22_p_q4,,iodiff_20_p_q4,,,,iodiff_20_p_q2,,iodiff_22_p_q2,,iodiff_24_p_q2,,iodiff_26_p_q2,,iodiff_28_p_q2,,iodiff_30_p_q2,,iodiff_32_p_q2,,iodiff_34_p_q2,,iodiff_36_p_q2,,iodiff_38_p_q2,,vss,,iodiff_41_p_q2
,,,,,,,BT0 DQ1 7 48,,BT0 DQS_T 9 48,,BT0 DQ7 11 48,,BT1 DQ1 13 48,,BT1 DQS_T 15 48,,BT1 DQ7 17 48,,CA DQ1 19 48,,CA CKT 21 48,,CA CS 23 48,,,,rxsbc_q2 27_48,,rxdata1_q2 29_48,,rxtrk_q2 31_48,,rxdata13_q2 33_48,,vss,,txdata14_q2 37_48,,txvld_q2 39_48,,txdata2_q2 41_48,,txsbd_q2 43_48,,,,,,
46,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,,vss,
